,AgeRange,Gender,CountryofBirth,RegionofBirth,CountryofCurrentResidence,RegionofCurrentResidence,CountryforK-12Eduation,RegionforK-12Education,NumbeofForeignLanguageLearned,NumberofLanguagesFluent,NumberofCountriesLivedIn,CountriesWithCitizanship
1,45 to 54,Female,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,5,1,1,1
2,25 to 34,Female,United States of America (Northeast),North America,United States of America (Northeast),North America,United States of America (Northeast),North America,2,1,1,1
3,18 to 24,Female,United States of America (Northeast),North America,United States of America (West),North America,United States of America (West),North America,1,1,1,1
4,35 to 44,Female,Bulgaria,Europe,Bulgaria,Europe,Bulgaria,Europe,3,1,2,1
5,35 to 44,Female,Sweden,Europe,Sweden,Europe,Poland,Europe,2,2,3,1
6,18 to 24,Male,Iran (Islamic Republic of),Asia,United States of America (Northeast),North America,Iran (Islamic Republic of),Asia,4,4,5,2
7,18 to 24,Female,Malaysia,Asia,United Kingdom of Great Britain and Northern Ireland,Europe,Malaysia,Asia,3,1,2,1
8,18 to 24,Female,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,4,1,2,1
9,25 to 34,Female,Malaysia,Asia,Malaysia,Asia,Malaysia,Asia,4,1,1,1
10,25 to 34,Male,Colombia,Latin America and the Caribbean,Colombia,Latin America and the Caribbean,Colombia,Latin America and the Caribbean,2,1,1,1
11,25 to 34,Male,Ireland,Europe,Ireland,Europe,Ireland,Europe,0,0,2,1
12,18 to 24,Female,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,1,1,1,1
13,35 to 44,Male,United States of America (Midwest),North America,United States of America (Midwest),North America,United States of America (Midwest),North America,1,1,3,1
14,18 to 24,Female,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,3,1,3,1
15,18 to 24,Male,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,3,1,1,1
16,25 to 34,Female,Germany,Europe,Germany,Europe,Germany,Europe,3,2,2,1
17,45 to 54,Female,United States of America (Northeast),North America,United States of America (West),North America,United States of America (Northeast),North America,1,0,1,1
18,25 to 34,Female,France,Europe,China,Asia,France,Europe,5,2,2,1
19,18 to 24,Female,United Kingdom of Great Britain and Northern Ireland,Europe,United States of America (South),North America,United States of America (Northeast),North America,4,1,2,1
20,18 to 24,Female,Malaysia,Asia,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,3,1,3,1
21,25 to 34,Female,United States of America (Midwest),North America,United Kingdom of Great Britain and Northern Ireland,,United States of America (Midwest),North America,2,0,5,1
22,45 to 54,Male,Greece,Europe,Greece,Europe,Greece,Europe,3,2,1,1
23,18 to 24,Female,Poland,Europe,Netherlands,Europe,Poland,Europe,4,1,4,1
24,18 to 24,Female,United States of America (Northeast),North America,United States of America (Northeast),North America,United States of America (South),North America,2,1,3,1
25,18 to 24,Female,Netherlands,Europe,New Zealand,,Netherlands,Europe,3,1,1,1
26,25 to 34,Female,Canada,North America,Canada,North America,Canada,North America,5,1,4,1
27,18 to 24,Female,Germany,Europe,United Kingdom of Great Britain and Northern Ireland,,Germany,Europe,1,1,5,2
28,25 to 34,Female,Germany,Europe,Netherlands,Europe,Germany,Europe,4,3,5,1
29,18 to 24,Male,Belgium,Europe,Belize,Latin America and the Caribbean,Belgium,Europe,5,1,2,1
30,25 to 34,Female,Slovakia,Europe,United Kingdom of Great Britain and Northern Ireland,,Slovakia,Europe,5,3,2,2
31,18 to 24,Female,Australia,Oceania,Australia,Oceania,Australia,Oceania,3,0,2,2
32,18 to 24,Male,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,2,0,2,1
33,18 to 24,Male,Austria,Europe,Austria,Europe,Austria,Europe,4,1,1,1
34,18 to 24,Male,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,3,1,1,1
35,25 to 34,Female,Ukraine,Europe,United Kingdom of Great Britain and Northern Ireland,,Hungary,Europe,2,2,3,1
36,25 to 34,Female,Germany,Europe,United Kingdom of Great Britain and Northern Ireland,,Germany,Europe,2,2,5,1
37,18 to 24,Female,Canada,North America,Canada,North America,Canada,North America,2,1,3,1
38,18 to 24,Female,Spain,Europe,Spain,Europe,Spain,Europe,3,1,3,1
39,18 to 24,Female,Peru,Latin America and the Caribbean,Japan,Asia,Peru,Latin America and the Caribbean,2,2,3,1
40,35 to 44,Male,United States of America (Midwest),North America,United States of America (South),North America,United States of America (Midwest),North America,2,0,2,1
41,18 to 24,Female,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,4,1,2,1
42,18 to 24,Female,Russian Federation,Europe,Germany,Europe,Russian Federation,Europe,4,2,2,1
43,25 to 34,Female,Netherlands,Europe,Netherlands,Europe,Dominican Republic,Latin America and the Caribbean,2,2,2,1
44,25 to 34,Male,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,3,1,1,1
45,25 to 34,Female,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,0,0,1,1
46,18 to 24,Male,United States of America (West),North America,United States of America (West),North America,Austria,Europe,2,2,3,1
47,25 to 34,Female,Italy,Europe,Italy,Europe,Italy,Europe,3,2,2,1
48,25 to 34,Female,India,Asia,India,Asia,India,Asia,1,1,1,1
49,25 to 34,Male,Germany,Europe,Ecuador,Latin America and the Caribbean,Germany,Europe,4,3,5,1
