,,,,,,,,,Age Range,Gender,,Country of Birth,Country of Current Residence,Country for K-12 eduation,Number of Foreign Languages learned,Languages Leanred,,,,,,,,,,,,,,,Which languages are you fluent in?(Not including your 1st language),,,,,,,,,,,,,,,Number of Countries Lived in,Countries in which citizanship is held,,,,,,,,,,
,,,,,,,,,Response,Response,Other (specify),Response,Response,Response,Response,English,German,Spanish,French,Mandarin,Arabic,Korean,Hindi,Russian,Italian,Portuguese,Japanese,Turkish,Vietnamese,Other (please specify),English,German,Spanish,French,Mandarin,Arabic,Korean,Hindi,Russian,Italian,Portuguese,Japanese,Turkish,Vietnamese,Other (please specify),Response,United States,UK,Austria,Germany,China,France,Italy,Russia,Spain,Korea,Other country (please specify)
,,,,,,,,,45 to 54,Female,,Netherlands,Netherlands,Netherlands,5+,English,German,Spanish,French,,,,,,,,,,,Latin ,English,,,,,,,,,,,,,,,1,,,,,,,,,,,Netherlands
,,,,,,,,,25 to 34,Female,,United States of America (Northeast),United States of America (Northeast),United States of America (Northeast),1,English,,,,,,,,,,,,,,Cantonese,English,,,,,,,,,,,,,,,1,United States,,,,,,,,,,
,,,,,,,,,18 to 24,Female,,United States of America (Northeast),United States of America (West),United States of America (West),1,English,,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,1,United States,,,,,,,,,,
,,,,,,,,,35 to 44,Female,,Bulgaria,Bulgaria,Bulgaria,3,English,German,,,,,,,Russian,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Greece
,,,,,,,,,35 to 44,Female,,Sweden,Sweden,Poland,2,English,,,French,,,,,,,,,,,,English,,,,,,,,,,,,,,Polish,3,,,,,,,,,,,Poland
,,,,,,,,,18 to 24,Male,,Iran (Islamic Republic of),United States of America (Northeast),Iran (Islamic Republic of),4,English,German,Spanish,French,,,,,,,,,,,,English,German,,French,,,,,,,,,,,farsi,5+,United States,,,,,,,,,,iran
,,,,,,,,,18 to 24,Female,,Malaysia,United Kingdom of Great Britain and Northern Ireland,Malaysia,3,English,,,,,Arabic,,,,,,,,,Malay,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Malaysia
,,,,,,,,,18 to 24,Female,,Netherlands,Netherlands,Netherlands,4,English,German,Spanish,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Netherlands
,,,,,,,,,25 to 34,Female,,Malaysia,Malaysia,Malaysia,4,English,,,French,,,Korean,,,,,,,,malay,English,,,,,,,,,,,,,,,1,,,,,,,,,,,malaysia
,,,,,,,,,25 to 34,Male,,Colombia,Colombia,Colombia,2,English,,,,,,,,,Italian,,,,,,English,,,,,,,,,,,,,,,1,,,,,,,,,,,Colombia
,,,,,,,,,25 to 34,Male,,Ireland,Ireland,Ireland,0,English,German,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,,,,ireland
,,,,,,,,,18 to 24,Female,,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,1,,German,,,,,,,,,,,,,,,German,,,,,,,,,,,,,,1,,UK,,,,,,,,,
,,,,,,,,,35 to 44,Male,,United States of America (Midwest),United States of America (Midwest),United States of America (Midwest),1,,,Spanish,,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,3,United States,,,,,,,,,,
,,,,,,,,,18 to 24,Female,,Netherlands,Netherlands,Netherlands,3,English,German,,,,,,,,,,,,,Finnish,English,,,,,,,,,,,,,,,3,,,,,,,,,,,The Netherlands
,,,,,,,,,18 to 24,Male,,Netherlands,Netherlands,Netherlands,3,English,German,,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,1,,,,,,,,,,,Netherlands
,,,,,,,,,25 to 34,Female,,Germany,Germany,Germany,3,English,,Spanish,French,,,,,,,,,,,,English,,,French,,,,,,,,,,,,2,,,,Germany,,,,,,,
,,,,,,,,,45 to 54,Female,,United States of America (Northeast),United States of America (West),United States of America (Northeast),1,,,,French,,,,,,,,,,,,,,,,,,,,,,,,,,none,1,United States,,,,,,,,,,
,,,,,,,,,25 to 34,Female,,France,China,France,5+,English,,Spanish,,Mandarin,,Korean,,,,,Japanese,,,,English,,,,Mandarin,,,,,,,,,,,2,,,,,,France,,,,,
,,,,,,,,,18 to 24,Female,,United Kingdom of Great Britain and Northern Ireland,United States of America (South),United States of America (Northeast),4,English,,Spanish,French,,,,,,,,,,,Twi,,,,,,,,,,,,,,,Twi,2,United States,UK,,,,,,,,,
,,,,,,,,,18 to 24,Female,,Malaysia,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,3,English,,,French,,,Korean,,,,,,,,,English,,,,,,,,,,,,,,,3,,,,,,France,,,,,
,,,,,,,,,25 to 34,Female,,United States of America (Midwest),United Kingdom of Great Britain and Northern Ireland,United States of America (Midwest),2,English,,,,,,,,,,,,,,ASL,,,,,,,,,,,,,,,,5+,United States,,,,,,,,,,
,,,,,,,,,45 to 54,Male,,Greece,Greece,Greece,3,English,German,,French,,,,,,,,,,,,English,,,French,,,,,,,,,,,,1,,,,,,,,,,,Greece
,,,,,,,,,18 to 24,Female,,Poland,Netherlands,Poland,4,English,German,,,,,,,,Italian,,,,,"danish, polish",English,,,,,,,,,,,,,,,4,,,,,,,,,,,poland
,,,,,,,,,18 to 24,Female,,United States of America (Northeast),United States of America (Northeast),United States of America (South),2,,German,Spanish,,,,,,,,,,,,,English,,,,,,,,,,,,,,,3,United States,,,,,,,,,,
,,,,,,,,,18 to 24,Female,,Netherlands,New Zealand,Netherlands,3,English,German,,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,1,,,,,,,,,,,The Netherlands
,,,,,,,,,25 to 34,Female,,Canada,Canada,Canada,5+,English,,Spanish,French,Mandarin,,,,,,,,,,Cantonese,,,,,Mandarin,,,,,,,,,,,4,,,,,,,,,,,Canada
,,,,,,,,,18 to 24,Female,,Germany,United Kingdom of Great Britain and Northern Ireland,Germany,1,,,Spanish,,,,,,,,,,,,,,German,,,,,,,,,,,,,,5+,United States,,,Germany,,,,,,,
,,,,,,,,,25 to 34,Female,,Germany,Netherlands,Germany,4,English,,Spanish,French,,,,,,,,,,,dutch,English,German,,French,,,,,,,,,,,Dutch,5+,,,,Germany,,,,,,,
,,,,,,,,,18 to 24,Male,,Belgium,Belize,Belgium,5+,English,German,,French,,,,,,Italian,,,,,Dutch,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Belgium
,,,,,,,,,25 to 34,Female,,Slovakia,United Kingdom of Great Britain and Northern Ireland,Slovakia,5+,English,,Spanish,French,,,,,Russian,,,,,,"hungarian, czech, polish",English,,Spanish,,,,,,,,,,,,czech,2,,UK,,,,,,,,,slovakia
,,,,,,,,,18 to 24,Female,,Australia,Australia,Australia,3,,,,French,,,,,,Italian,,Japanese,,,,,,,,,,,,,,,,,,,2,,,,,,,Italy,,,,Australia
,,,,,,,,,18 to 24,Male,,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,2,,German,,French,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,UK,,,,,,,,,
,,,,,,,,,18 to 24,Male,,Austria,Austria,Austria,4,English,German,Spanish,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,1,,,Austria,,,,,,,,
