,AgeRange,Gender,CountryofBirth,CountryofCurrentResidence,CountryforK-12Eduation,NumbeofForeignLanguageLearned,NumberofLanguagesFluent,NumberofCountriesLivedIn,CountriesWithCitizanship
1,45 to 54,Female,Netherlands,Netherlands,Netherlands,5+,1,1,1
2,25 to 34,Female,United States of America (Northeast),United States of America (Northeast),United States of America (Northeast),2,1,1,1
3,18 to 24,Female,United States of America (Northeast),United States of America (West),United States of America (West),1,1,1,1
4,35 to 44,Female,Bulgaria,Bulgaria,Bulgaria,3,1,2,1
5,35 to 44,Female,Sweden,Sweden,Poland,2,2,3,1
6,18 to 24,Male,Iran (Islamic Republic of),United States of America (Northeast),Iran (Islamic Republic of),4,4,5+,2
7,18 to 24,Female,Malaysia,United Kingdom of Great Britain and Northern Ireland,Malaysia,3,1,2,1
8,18 to 24,Female,Netherlands,Netherlands,Netherlands,4,1,2,1
9,25 to 34,Female,Malaysia,Malaysia,Malaysia,4,1,1,1
10,25 to 34,Male,Colombia,Colombia,Colombia,2,1,1,1
11,25 to 34,Male,Ireland,Ireland,Ireland,0,0,2,1
12,18 to 24,Female,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,1,1,1,1
13,35 to 44,Male,United States of America (Midwest),United States of America (Midwest),United States of America (Midwest),1,1,3,1
14,18 to 24,Female,Netherlands,Netherlands,Netherlands,3,1,3,1
15,18 to 24,Male,Netherlands,Netherlands,Netherlands,3,1,1,1
16,25 to 34,Female,Germany,Germany,Germany,3,2,2,1
17,45 to 54,Female,United States of America (Northeast),United States of America (West),United States of America (Northeast),1,0,1,1
18,25 to 34,Female,France,China,France,5+,2,2,1
19,18 to 24,Female,United Kingdom of Great Britain and Northern Ireland,United States of America (South),United States of America (Northeast),4,1,2,1
20,18 to 24,Female,Malaysia,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,3,1,3,1
21,25 to 34,Female,United States of America (Midwest),United Kingdom of Great Britain and Northern Ireland,United States of America (Midwest),2,0,5+,1
22,45 to 54,Male,Greece,Greece,Greece,3,2,1,1
23,18 to 24,Female,Poland,Netherlands,Poland,4,1,4,1
24,18 to 24,Female,United States of America (Northeast),United States of America (Northeast),United States of America (South),2,1,3,1
25,18 to 24,Female,Netherlands,New Zealand,Netherlands,3,1,1,1
26,25 to 34,Female,Canada,Canada,Canada,5+,1,4,1
27,18 to 24,Female,Germany,United Kingdom of Great Britain and Northern Ireland,Germany,1,1,5+,2
28,25 to 34,Female,Germany,Netherlands,Germany,4,3,5+,1
29,18 to 24,Male,Belgium,Belize,Belgium,5+,1,2,1
30,25 to 34,Female,Slovakia,United Kingdom of Great Britain and Northern Ireland,Slovakia,5+,3,2,2
31,18 to 24,Female,Australia,Australia,Australia,3,0,2,2
32,18 to 24,Male,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,2,0,2,1
33,18 to 24,Male,Austria,Austria,Austria,4,1,1,1
34,18 to 24,Male,Netherlands,Netherlands,Netherlands,3,1,1,1
35,25 to 34,Female,Ukraine,United Kingdom of Great Britain and Northern Ireland,Hungary,2,2,3,1
36,25 to 34,Female,Germany,United Kingdom of Great Britain and Northern Ireland,Germany,2,2,5+,1
37,18 to 24,Female,Canada,Canada,Canada,2,1,3,1
38,18 to 24,Female,Spain,Spain,Spain,3,1,3,1
39,18 to 24,Female,Peru,Japan,Peru,2,2,3,1
40,35 to 44,Male,United States of America (Midwest),United States of America (South),United States of America (Midwest),2,0,2,1
41,18 to 24,Female,Netherlands,Netherlands,Netherlands,4,1,2,1
